cluster,geometry,totalPickUp,totalDropOff,stopTimeCount,stop_lon,stop_lat,nearest_distance
7893,POINT (-74.2498615006877 40.756388000154146),0,0,153,-74.2498615006877,40.756388000154146,213.4907410031381
7894,POINT (-74.245842 40.76399899999999),0,0,268,-74.245842,40.76399899999999,172.9963208817847
7895,POINT (-74.24433 40.765747000000005),0,0,135,-74.24433,40.765747000000005,110.22248180445713
7896,POINT (-74.23750250000751 40.77070300009822),0,0,261,-74.23750250000751,40.77070300009822,190.89657537372173
7897,POINT (-74.248952 40.75817899999999),0,0,153,-74.248952,40.75817899999999,173.036680766563
7898,POINT (-74.243372 40.766419),0,0,133,-74.243372,40.766419,110.22248180445713
7899,POINT (-74.24682100013963 40.762633000014546),0,0,268,-74.24682100013963,40.762633000014546,168.98618747789172
7900,POINT (-74.250782 40.754189000000004),0,0,153,-74.250782,40.754189000000004,256.61334602153346
7901,POINT (-74.241802 40.76755900000001),0,0,268,-74.241802,40.76755900000001,183.5809921715808
7902,POINT (-74.255902 40.748108),0,0,153,-74.255902,40.748108,299.2255595543417
7903,POINT (-74.24750099992893 40.761204000011),0,0,210,-74.24750099992893,40.761204000011,168.98618747789172
7904,POINT (-74.248244 40.759639),0,0,153,-74.248244,40.759639,173.036680766563
7905,POINT (-74.29483200000001 40.491128),0,0,27,-74.29483200000001,40.491128,362.89187305229615
7906,POINT (-74.558193 40.332198),0,0,41,-74.558193,40.332198,133.4903096016631
7907,POINT (-74.55809 40.33467799999999),0,0,41,-74.55809,40.33467799999999,114.69132579931306
7908,POINT (-74.5583 40.333659),0,0,42,-74.5583,40.333659,114.69132579931306
7909,POINT (-74.558411 40.331008999999995),0,0,42,-74.558411,40.331008999999995,133.4903096016631
7910,POINT (-74.558272 40.327909999999996),0,0,83,-74.558272,40.327909999999996,344.7935717477673
7911,POINT (-74.59093699979314 40.33689400114111),0,0,83,-74.59093699979314,40.33689400114111,266.91661513116276
7912,POINT (-74.58681 40.33527799999999),0,0,41,-74.58681,40.33527799999999,363.2221510551549
7913,POINT (-74.60504 40.340959),0,0,42,-74.60504,40.340959,130.5774651229235
7914,POINT (-74.603502 40.340857),0,0,41,-74.603502,40.340857,130.5774651229235
7915,POINT (-74.721532 40.233337),0,0,160,-74.721532,40.233337,199.81842882668354
7916,POINT (-74.720891 40.237978999999996),0,0,160,-74.720891,40.237978999999996,281.52712733227463
7917,POINT (-73.97414872 40.36683878000001),2,0,10,-73.97414872,40.36683878000001,144.09062879278616
7918,POINT (-73.97504985498463 40.38751213500858),2,0,10,-73.97504985498463,40.38751213500858,1214.9274970088431
7919,POINT (-73.97375565013498 40.35945924502684),2,0,10,-73.97375565013498,40.35945924502684,254.31195924985002
7920,POINT (-73.97385062000001 40.352219559999995),2,0,10,-73.97385062000001,40.352219559999995,221.16445131935222
7921,POINT (-73.97420242 40.36264510000001),2,0,7,-73.97420242,40.36264510000001,102.14267315992832
7922,POINT (-74.02911512 40.13682605999999),0,0,4,-74.02911512,40.13682605999999,658.4180406503928
