ActualBusStop,PredictedBusStop,Error,PopulationSum,HospitalSum,ShoppingMalSum,pickUpSum,dropOffSum,stopTimeSum,radius(miles),radius(meters),centroid,lon,lat
2.0,0.99,1.01,957,0.0,0.0,0.0,0.0,198.0,0.45,724.72,POINT (-74.99946008393687 39.47485565380775),-74.999,39.475
4.0,2.02,1.98,2451,0.0,0.0,0.0,0.0,311.0,0.45,724.72,POINT (-74.99945843932902 39.68648822194062),-74.999,39.686
2.0,0.93,1.07,887,0.0,0.0,0.0,0.0,185.0,0.45,724.72,POINT (-74.9994579662442 39.74695324958582),-74.999,39.747
5.0,2.44,2.56,2227,0.0,0.0,0.0,0.0,780.0,0.45,724.72,POINT (-74.99945772916601 39.77718552652505),-74.999,39.777
4.0,2.05,1.95,2594,0.0,0.0,0.0,0.0,264.0,0.45,724.72,POINT (-74.99945749172981 39.807417645502355),-74.999,39.807
7.0,3.16,3.84,1911,0.0,0.0,0.0,0.0,1542.0,0.45,724.72,POINT (-74.99945725393505 39.837649606488164),-74.999,39.838
2.0,2.21,-0.21,3284,0.0,0.0,0.0,0.0,53.0,0.45,724.72,POINT (-74.99945701578106 39.86788140945313),-74.999,39.868
8.0,3.06,4.94,3210,0.0,1.0,0.0,0.0,806.0,0.45,724.72,POINT (-74.99945653839313 39.92834454120397),-74.999,39.928
3.0,2.34,0.66,2912,0.0,0.0,0.0,0.0,354.0,0.45,724.72,POINT (-74.99945629915794 39.95857586993198),-74.999,39.959
1.0,1.53,-0.53,2021,0.0,0.0,0.0,0.0,120.0,0.45,724.72,POINT (-74.99945605956114 39.98880704052343),-74.999,39.989
4.0,2.03,1.97,2429,0.0,0.0,0.0,0.0,333.0,0.45,724.72,POINT (-74.9994558196021 40.01903805294987),-74.999,40.019
9.0,2.48,6.52,2223,0.0,0.0,0.0,0.0,819.0,0.45,724.72,POINT (-74.9879887615486 39.6864876020349),-74.988,39.686
5.0,2.16,2.84,2571,0.0,0.0,0.0,0.0,375.0,0.45,724.72,POINT (-74.9879835192469 39.71672019414708),-74.988,39.717
1.0,1.43,-0.43,1978,0.0,0.0,0.0,0.0,59.0,0.45,724.72,POINT (-74.9879782690319 39.746952628356375),-74.988,39.747
10.0,2.88,7.12,2274,0.0,0.0,0.0,0.0,1126.0,0.45,724.72,POINT (-74.987967744809 39.80741702294687),-74.988,39.807
1.0,1.02,-0.02,1251,0.0,0.0,0.0,0.0,75.0,0.45,724.72,POINT (-74.98796247077445 39.83764898326882),-74.988,39.838
4.0,1.32,2.68,1759,0.0,0.0,0.0,0.0,73.0,0.45,724.72,POINT (-74.98795718877335 39.86788078556934),-74.988,39.868
9.0,2.73,6.27,2830,0.0,0.0,0.0,0.0,717.0,0.45,724.72,POINT (-74.98794660081792 39.928343915989544),-74.988,39.928
5.0,2.41,2.59,3009,0.0,0.0,0.0,0.0,360.0,0.45,724.72,POINT (-74.98794129483667 39.95857524405137),-74.988,39.959
1.0,0.36,0.64,80,0.0,0.0,0.0,0.0,111.0,0.45,724.72,POINT (-74.98793065879963 40.01903742573516),-74.988,40.019
1.0,0.91,0.09,798,0.0,0.0,0.0,0.0,212.0,0.45,724.72,POINT (-74.97659039112713 39.474853298826794),-74.977,39.475
2.0,1.94,0.06,1823,0.0,0.0,0.0,0.0,565.0,0.45,724.72,POINT (-74.97650883620867 39.71671843953687),-74.977,39.717
4.0,2.42,1.58,2969,0.0,0.0,0.0,0.0,392.0,0.45,724.72,POINT (-74.97647799857148 39.80741526271523),-74.976,39.807
1.0,0.93,0.07,1112,0.0,0.0,0.0,0.0,75.0,0.45,724.72,POINT (-74.97646768829833 39.83764722116013),-74.976,39.838
5.0,1.34,3.66,1735,0.0,0.0,0.0,0.0,105.0,0.45,724.72,POINT (-74.97645736245126 39.86787902158197),-74.976,39.868
3.0,1.28,1.72,1449,0.0,0.0,0.0,0.0,198.0,0.45,724.72,POINT (-74.97644702100412 39.89811066395158),-74.976,39.898
3.0,1.65,1.35,2075,0.0,0.0,0.0,0.0,194.0,0.45,724.72,POINT (-74.97643666393064 39.92834214823994),-74.976,39.928
